yearly.salary;age;elevel;car;region;credit;brand
100862.5066;77;4-Year College Degree;Mercedes Benz;Mountain;135444.8306;
33926.48622;42;High School Degree;Mitsubishi;East South Central;338957.7912;
34547.10556;69;Master's, Doctoral or Professional Degree;Mitsubishi;Pacific;178745.3287;
50400.92157;46;Some College;Kia;East South Central;155881.1573;
36771.82483;66;Less than High School Degree;Mitsubishi;West North Central;285592.9044;
57293.90047;61;4-Year College Degree;Buick;Mountain;254309.3692;
103162.1155;22;Less than High School Degree;Kia;West South Central;20154.04327;
84321.91334;40;Master's, Doctoral or Professional Degree;Ford;Mountain;240352.3575;
44978.93098;51;4-Year College Degree;Honda;East North Central;30226.27318;
33261.0419;74;High School Degree;Buick;East North Central;441965.5178;
138174.402;24;High School Degree;Toyota;Mountain;34065.70539;
146356.9425;74;Some College;Jeep;East South Central;344798.6671;
99339.7986;34;Less than High School Degree;Hyundai;East North Central;6024.31096;
71182.20266;63;Less than High School Degree;Dodge;East South Central;66611.49486;
71550.5906;31;High School Degree;Mercedes Benz;New England;160777.2432;
86560.86808;55;4-Year College Degree;Honda;Mountain;381447.6931;
95906.64061;44;4-Year College Degree;Nissan;South Atlantic;470045.167;
79439.6358;27;Master's, Doctoral or Professional Degree;Dodge;Mountain;464938.9837;
39651.73721;76;High School Degree;Chrysler;West South Central;327289.4095;
41118.99813;25;Master's, Doctoral or Professional Degree;Dodge;Mid-Atlantic;90189.79818;
93839.26542;70;Some College;Hyundai;West North Central;332445.9659;
113076.8079;45;4-Year College Degree;Nissan;Mid-Atlantic;365643.4332;
32036.68512;25;4-Year College Degree;Chevrolet;West North Central;74054.9112;
20000;68;Less than High School Degree;Cadillac;New England;213894.2584;
39392.14635;30;Some College;Honda;East North Central;266690.8952;
112852.7192;48;Master's, Doctoral or Professional Degree;Mercedes Benz;Pacific;407602.7403;
38512.89603;48;High School Degree;Jeep;West North Central;0;
44428.60558;32;4-Year College Degree;Jeep;Pacific;192674.5249;
126738.6976;28;Some College;None of the above;Pacific;149647.004;
136683.3775;24;High School Degree;Honda;South Atlantic;212461.5516;
53883.25098;54;Master's, Doctoral or Professional Degree;Kia;East South Central;89236.34933;
133290.5005;72;High School Degree;Hyundai;West North Central;478544.7558;
123095.006;53;Master's, Doctoral or Professional Degree;Subaru;New England;205545.717;
41013.26647;77;Master's, Doctoral or Professional Degree;Cadillac;Mid-Atlantic;246458.9741;
39800.44122;63;Less than High School Degree;Cadillac;New England;147013.5681;
53983.93486;29;4-Year College Degree;Chevrolet;Mountain;237006.2524;
54807.82635;47;Master's, Doctoral or Professional Degree;Nissan;East South Central;348471.2441;
140563.9731;45;Some College;Nissan;Mountain;343021.3822;
123345.4825;63;High School Degree;Toyota;West North Central;141085.0409;
74953.43325;63;Some College;Chevrolet;New England;270405.0392;
23157.49676;73;Less than High School Degree;Hyundai;New England;104250.3463;
142358.2568;35;4-Year College Degree;Mercedes Benz;West North Central;248291.2584;
119209.328;76;4-Year College Degree;Kia;West North Central;35347.59756;
122807.9438;62;Less than High School Degree;Dodge;Pacific;172104.291;
48938.46071;65;High School Degree;Honda;West South Central;431340.423;
20000;30;Some College;Buick;West South Central;218843.651;
76509.60173;48;High School Degree;Mercedes Benz;East North Central;337054.1622;
20000;51;Master's, Doctoral or Professional Degree;Cadillac;New England;470921.4124;
64910.68396;47;4-Year College Degree;Lincoln;East North Central;256440.2599;
38812.22676;75;High School Degree;Subaru;West South Central;310480.0227;
69277.56094;20;Some College;BMW;South Atlantic;93838.18629;
141497.9248;65;Some College;Lincoln;Mid-Atlantic;406525.6569;
140088.8312;64;Master's, Doctoral or Professional Degree;Chevrolet;Pacific;281727.2777;
34934.23067;46;High School Degree;Jeep;Mid-Atlantic;461915.6023;
69474.53053;69;Master's, Doctoral or Professional Degree;Ram;South Atlantic;387894.2142;
29272.23437;48;High School Degree;Mitsubishi;East North Central;436948.4525;
64788.44873;79;Master's, Doctoral or Professional Degree;Chrysler;Mid-Atlantic;77918.10245;
135639.8791;27;Master's, Doctoral or Professional Degree;Toyota;West South Central;19186.17634;
105017.6357;78;Less than High School Degree;Honda;New England;60901.15443;
30651.27828;70;4-Year College Degree;Chevrolet;West South Central;274973.3405;
124914.8927;20;4-Year College Degree;Mercedes Benz;New England;422490.7151;
51554.6034;43;High School Degree;Dodge;Pacific;403873.2068;
41756.58586;30;Less than High School Degree;Hyundai;Pacific;261237.0119;
40777.17765;24;4-Year College Degree;Subaru;East North Central;389602.4913;
22852.18355;20;4-Year College Degree;Toyota;West North Central;471134.0016;
46972.72177;58;Master's, Doctoral or Professional Degree;BMW;West North Central;202696.6148;
81360.09472;57;Some College;BMW;East South Central;464026.0106;
118399.6735;52;4-Year College Degree;Buick;East North Central;349837.5019;
97797.99614;51;High School Degree;Ram;New England;322701.6857;
34013.2303;37;Master's, Doctoral or Professional Degree;Buick;Mountain;35509.86716;
39825.37599;67;Less than High School Degree;Honda;South Atlantic;449697.2514;
42887.81182;68;Less than High School Degree;Honda;East South Central;311664.9223;
136958.0552;62;4-Year College Degree;BMW;East North Central;471262.0422;
73966.94405;28;High School Degree;Chevrolet;West South Central;427243.0564;
58996.45533;43;Some College;Hyundai;South Atlantic;327786.8183;
147256.2284;54;Less than High School Degree;Ford;Mid-Atlantic;494074.745;
137604.4732;80;Some College;Ram;Mid-Atlantic;129093.431;
67246.29728;70;High School Degree;Ford;South Atlantic;241223.8674;
111248.5351;53;High School Degree;Subaru;South Atlantic;464879.9246;
138762.6193;27;4-Year College Degree;Subaru;Mountain;270868.1454;
130104.2157;57;Less than High School Degree;Cadillac;New England;0;
66419.40224;70;High School Degree;BMW;West South Central;430196.5454;
105905.1717;78;High School Degree;Mercedes Benz;South Atlantic;221805.0272;
66718.68592;22;4-Year College Degree;Cadillac;New England;359392.595;
105371.3765;28;Less than High School Degree;Ram;West North Central;118819.0244;
150000;20;4-Year College Degree;Honda;Mid-Atlantic;52783.80121;
78824.04664;70;High School Degree;Mazda;West South Central;36615.60833;
104203.6653;20;Less than High School Degree;Chrysler;South Atlantic;472282.7269;
81031.0909;20;4-Year College Degree;Ford;Pacific;281226.6043;
35394.28221;26;High School Degree;Subaru;South Atlantic;461495.7806;
93010.35031;44;Master's, Doctoral or Professional Degree;Mercedes Benz;Pacific;500000;
89977.24698;29;Some College;Mazda;Mountain;119006.3796;
71357.38975;62;Less than High School Degree;Subaru;West North Central;413141.1401;
86564.44796;33;Some College;Hyundai;East South Central;477016.951;
141029.8191;22;Some College;Jeep;Pacific;166924.9082;
104962.6416;45;Master's, Doctoral or Professional Degree;Jeep;Mid-Atlantic;344391.502;
91708.12335;50;4-Year College Degree;Kia;Pacific;446718.263;
79017.63427;24;High School Degree;Kia;Mid-Atlantic;182439.1782;
126987.4355;77;4-Year College Degree;Jeep;Pacific;276517.6124;
50959.11776;69;Some College;Kia;South Atlantic;158345.5348;
97361.54119;52;Some College;Buick;Mid-Atlantic;472890.1963;
57871.06916;27;Master's, Doctoral or Professional Degree;Subaru;East South Central;40516.26375;
114719.9929;35;Some College;BMW;West South Central;371147.6246;
127173.5961;33;Some College;Chrysler;Mountain;278513.526;
22550.37379;78;4-Year College Degree;None of the above;East North Central;358223.8561;
41046.87118;46;Some College;Mazda;West North Central;261612.2675;
124898.0764;41;Master's, Doctoral or Professional Degree;Jeep;Pacific;425863.757;
126582.4113;54;High School Degree;Honda;Pacific;230828.1126;
102972.1702;51;Less than High School Degree;Ford;East North Central;157549.9681;
28104.2676;79;Less than High School Degree;Honda;West North Central;212529.6273;
91758.28955;55;Less than High School Degree;Chrysler;South Atlantic;95280.30363;
64470.53502;72;Less than High School Degree;Chevrolet;East South Central;72924.56732;
70008.3427;44;Master's, Doctoral or Professional Degree;Ram;East North Central;369048.2027;
43081.31822;41;High School Degree;Dodge;East South Central;191982.4034;
81168.48296;34;Master's, Doctoral or Professional Degree;Jeep;West North Central;35099.85573;
37764.29766;25;High School Degree;Honda;East North Central;284129.4257;
150000;23;Master's, Doctoral or Professional Degree;Subaru;West North Central;500000;
30760.74623;78;4-Year College Degree;Chevrolet;Mid-Atlantic;224080.096;
115765.8595;71;Master's, Doctoral or Professional Degree;None of the above;West South Central;394825.6264;
50168.50762;34;Some College;Subaru;South Atlantic;187646.3446;
108117.3094;44;Some College;Hyundai;East South Central;304615.6456;
117407.261;23;High School Degree;Chrysler;New England;302195.4793;
47941.2591;24;Less than High School Degree;Cadillac;Mountain;83615.7243;
98186.30577;76;4-Year College Degree;Honda;Mid-Atlantic;199271.624;
123561.0308;48;Some College;Toyota;Pacific;76055.51482;
85061.24877;32;High School Degree;Lincoln;West South Central;474664.1651;
42224.98333;60;High School Degree;Chrysler;Mid-Atlantic;166459.6241;
118559.7817;72;4-Year College Degree;Cadillac;East North Central;287256.5499;
120060.6862;21;High School Degree;Ram;East North Central;241135.1946;
62275.60136;49;Some College;Ram;Pacific;428596.1819;
48687.53178;41;Some College;Buick;Pacific;201617.3953;
124449.2735;76;High School Degree;BMW;East South Central;124080.9386;
102587.4285;20;High School Degree;None of the above;West South Central;291874.2933;
37922.35501;44;Some College;Jeep;New England;411478.2194;
20000;69;Some College;Mercedes Benz;East North Central;203408.6924;
20863.03794;53;Master's, Doctoral or Professional Degree;Cadillac;New England;91408.7083;
97753.98263;48;High School Degree;Subaru;Mid-Atlantic;228509.3055;
76230.20993;70;Some College;Subaru;New England;239003.9728;
61490.09424;69;High School Degree;Toyota;Mountain;122582.229;
71638.6117;26;High School Degree;Ford;West South Central;173247.3789;
119640.7793;33;Some College;None of the above;West North Central;331233.6448;
85002.33367;62;Master's, Doctoral or Professional Degree;Ford;Pacific;79004.52057;
126499.072;78;Master's, Doctoral or Professional Degree;Jeep;South Atlantic;477178.6408;
78407.74455;23;Some College;Mitsubishi;West North Central;198359.2028;
78825.20872;41;Some College;Ford;South Atlantic;276219.7638;
84333.9113;69;4-Year College Degree;Ram;Mid-Atlantic;227553.5108;
141174.4209;71;4-Year College Degree;Cadillac;East South Central;248924.0085;
36326.11199;57;Some College;Chrysler;South Atlantic;416774.0346;
57481.24511;80;Some College;None of the above;Mountain;87090.63941;
76974.37959;70;Less than High School Degree;Ram;East South Central;235786.548;
122464.6149;35;Master's, Doctoral or Professional Degree;Chevrolet;Mountain;474694.3411;
115800.1138;30;Master's, Doctoral or Professional Degree;Mazda;New England;462889.3802;
43973.41539;49;Master's, Doctoral or Professional Degree;Hyundai;West North Central;436988.9052;
138893.0818;51;Master's, Doctoral or Professional Degree;Chevrolet;Pacific;247379.1391;
136962.606;74;High School Degree;BMW;Pacific;420048.2066;
116528.7053;76;Less than High School Degree;Lincoln;East South Central;167440.0038;
130833.0008;23;Some College;Nissan;East South Central;29638.03906;
103581.5907;77;Less than High School Degree;Subaru;West South Central;450230.0564;
77603.71927;71;Less than High School Degree;Cadillac;Mountain;41068.79664;
25721.72544;24;Some College;Jeep;South Atlantic;141667.1945;
125982.6712;53;High School Degree;Buick;West North Central;251534.6838;
102942.1021;30;4-Year College Degree;Hyundai;Mountain;418543.0306;
122105.3795;33;Master's, Doctoral or Professional Degree;Subaru;West South Central;308658.6156;
146777.3863;24;High School Degree;Mercedes Benz;South Atlantic;282599.7609;
141049.4866;39;Master's, Doctoral or Professional Degree;Chrysler;West South Central;27116.55534;
126448.6574;61;Less than High School Degree;Kia;East South Central;500000;
58090.26917;62;Less than High School Degree;BMW;Pacific;217997.9872;
74253.30416;67;High School Degree;Subaru;Pacific;50630.05515;
137550.1396;42;Some College;Chevrolet;East North Central;277726.9151;
70768.34809;36;Less than High School Degree;Kia;South Atlantic;249317.2793;
114737.6349;40;4-Year College Degree;Mercedes Benz;Mountain;284935.9197;
94961.68156;36;High School Degree;None of the above;New England;56898.47698;
40597.46719;20;Less than High School Degree;Ford;East South Central;307315.7656;
76354.84474;26;Less than High School Degree;Chrysler;West North Central;339813.8804;
105552.4818;61;Less than High School Degree;BMW;Mountain;445405.4449;
91168.86289;75;Less than High School Degree;BMW;West South Central;318103.1376;
80282.98752;68;High School Degree;None of the above;Mountain;396729.7297;
98032.43651;32;High School Degree;Jeep;East South Central;407000.2727;
57356.59966;73;Master's, Doctoral or Professional Degree;Toyota;East North Central;228469.5188;
45072.35215;77;Less than High School Degree;Mitsubishi;South Atlantic;90572.80287;
32004.33705;54;Less than High School Degree;Mazda;New England;78329.76304;
31247.7923;33;4-Year College Degree;Chrysler;New England;262716.466;
123414.4505;51;Less than High School Degree;Mitsubishi;East North Central;126588.8678;
102491.2198;60;Some College;BMW;Mid-Atlantic;431329.0163;
129922.4595;47;Some College;Mazda;East South Central;465367.285;
84956.02521;40;Less than High School Degree;Buick;West North Central;19313.86366;
142684.7682;67;Master's, Doctoral or Professional Degree;Mitsubishi;South Atlantic;389508.657;
88022.64951;33;Master's, Doctoral or Professional Degree;None of the above;Mid-Atlantic;67203.58854;
79307.38421;41;4-Year College Degree;Cadillac;Pacific;298115.4446;
131026.4874;78;4-Year College Degree;Buick;Mid-Atlantic;264037.6079;
98947.96129;42;4-Year College Degree;Mitsubishi;Mountain;47600.89116;
114155.581;69;4-Year College Degree;None of the above;South Atlantic;76642.88812;
90816.37715;49;High School Degree;Ram;New England;168983.5016;
39974.65829;38;High School Degree;BMW;West North Central;411599.372;
92748.35104;23;Some College;Mazda;West South Central;376689.6652;
52381.55815;71;Some College;Toyota;East North Central;53691.27441;
109696.8907;33;Some College;Toyota;Mid-Atlantic;306930.8132;
150000;71;Less than High School Degree;None of the above;West South Central;198375.7234;
47817.84173;77;Master's, Doctoral or Professional Degree;Dodge;Pacific;295701.6721;
129804.126;39;Some College;Toyota;South Atlantic;430324.8617;
90560.66979;77;Less than High School Degree;Toyota;West South Central;469039.022;
60790.38134;55;Less than High School Degree;Ford;South Atlantic;417998.7835;
51937.83307;50;4-Year College Degree;Kia;Mountain;180286.3702;
75127.15274;58;High School Degree;Dodge;South Atlantic;239634.2341;
35163.88797;79;Less than High School Degree;Mitsubishi;West North Central;134335.7574;
71603.97299;52;Some College;Lincoln;Mid-Atlantic;116490.9076;
125684.3106;71;Master's, Doctoral or Professional Degree;Buick;Mountain;75617.26886;
59632.25172;33;Some College;Mazda;East North Central;252940.2811;
142513.9;41;Less than High School Degree;Subaru;Mountain;98291.30237;
104773.2122;46;4-Year College Degree;Lincoln;New England;334005.1613;
125359.1955;27;High School Degree;Subaru;East North Central;472226.632;
102822.3753;66;Master's, Doctoral or Professional Degree;Chrysler;Mountain;262757.0305;
142989.9354;43;Some College;Toyota;South Atlantic;375447.0364;
109304.7165;61;High School Degree;Cadillac;Pacific;88362.85209;
139245.1188;37;Some College;Chrysler;Mid-Atlantic;42994.18849;
48816.16877;54;Less than High School Degree;Toyota;East North Central;344485.8304;
125267.5285;36;Some College;Subaru;New England;50457.25686;
148913.4369;30;High School Degree;Toyota;South Atlantic;366874.0631;
114830.9249;72;Less than High School Degree;None of the above;Mountain;183800.4905;
123235.8102;60;High School Degree;None of the above;West South Central;500000;
89350.37006;40;Master's, Doctoral or Professional Degree;None of the above;East South Central;32435.88793;
142993.2327;36;High School Degree;Kia;Mid-Atlantic;140425.802;
114758.762;68;Some College;Mercedes Benz;Pacific;404982.1119;
22229.85426;29;Master's, Doctoral or Professional Degree;Lincoln;East North Central;437096.8629;
141199.8067;51;4-Year College Degree;Hyundai;East North Central;74644.38473;
60916.15423;51;Less than High School Degree;Chevrolet;South Atlantic;29687.24726;
130713.5948;40;4-Year College Degree;Lincoln;East North Central;56376.68577;
129002.9207;63;4-Year College Degree;Dodge;East North Central;425581.4366;
60510.33735;70;High School Degree;Toyota;West North Central;442853.1873;
58602.99107;29;Master's, Doctoral or Professional Degree;Kia;New England;206282.9013;
52205.66794;34;Master's, Doctoral or Professional Degree;Mercedes Benz;Mountain;274402.4457;
81450.61739;58;Some College;BMW;West South Central;131665.4479;
72199.17821;31;Master's, Doctoral or Professional Degree;Mercedes Benz;East South Central;302651.4867;
127786.606;46;Some College;Nissan;Mid-Atlantic;0;
37564.26825;72;High School Degree;Kia;Mountain;407501.0746;
104200.8434;64;Less than High School Degree;Dodge;East North Central;196894.3018;
80030.00439;22;Master's, Doctoral or Professional Degree;Mitsubishi;Pacific;390769.0935;
115322.3206;31;High School Degree;Jeep;Pacific;241098.2754;
71814.84043;67;4-Year College Degree;Honda;South Atlantic;32092.45823;
86877.1143;63;4-Year College Degree;Chrysler;West South Central;378365.476;
27146.33944;49;4-Year College Degree;None of the above;East North Central;8953.972124;
63284.71451;36;High School Degree;Mitsubishi;Pacific;337130.4733;
100933.2663;71;4-Year College Degree;None of the above;West South Central;278940.4201;
143926.3711;28;4-Year College Degree;None of the above;East South Central;89790.06468;
79139.62098;80;Master's, Doctoral or Professional Degree;Buick;Mid-Atlantic;13717.50551;
90277.42898;80;Master's, Doctoral or Professional Degree;Kia;Pacific;140418.7736;
54118.4336;76;4-Year College Degree;Cadillac;West South Central;466775.872;
97893.25638;61;Less than High School Degree;Jeep;Mid-Atlantic;474945.8107;
82815.5434;41;Less than High School Degree;Kia;South Atlantic;500000;
148296.65;22;High School Degree;Ram;Mountain;264466.0172;
63049.17146;69;Less than High School Degree;Lincoln;West North Central;385233.5505;
51783.31546;80;4-Year College Degree;Lincoln;Mountain;468442.5132;
37925.72851;77;Some College;Ram;New England;242963.7613;
116008.0933;34;Less than High School Degree;Lincoln;Mountain;160955.336;
35620.2353;70;Some College;Toyota;Pacific;26058.18459;
62533.03539;64;4-Year College Degree;Ford;West North Central;287363.1168;
130105.7506;24;High School Degree;None of the above;West South Central;450609.6355;
29749.4862;78;Master's, Doctoral or Professional Degree;Mitsubishi;Mountain;257292.2451;
97669.10737;67;Less than High School Degree;Cadillac;New England;206482.5332;
93344.43409;23;Master's, Doctoral or Professional Degree;Nissan;West North Central;12468.53599;
25493.9877;36;Less than High School Degree;BMW;East South Central;257244.3148;
40552.57176;55;High School Degree;Mitsubishi;East North Central;151100.7491;
77614.4625;51;4-Year College Degree;Mercedes Benz;West South Central;0;
133205.7254;23;Less than High School Degree;Ram;Mid-Atlantic;156677.8004;
68348.53865;64;4-Year College Degree;Jeep;New England;417646.9735;
70906.75242;56;Master's, Doctoral or Professional Degree;Kia;East South Central;0;
77233.76907;73;Less than High School Degree;Subaru;Mountain;477469.4867;
67657.81084;58;High School Degree;Mercedes Benz;East North Central;45059.43665;
143060.6818;30;4-Year College Degree;Subaru;Mountain;391695.9481;
147937.0685;41;Some College;Kia;Mountain;42354.73178;
129463.5122;80;4-Year College Degree;Mercedes Benz;West South Central;405806.2747;
52949.16278;63;Less than High School Degree;Ford;New England;442363.2162;
78120.11486;54;4-Year College Degree;Honda;West North Central;152523.8094;
111189.0398;33;High School Degree;Ford;South Atlantic;149039.6527;
136275.5045;54;4-Year College Degree;Mercedes Benz;Mid-Atlantic;34808.2013;
40437.22038;56;High School Degree;Subaru;New England;162254.9757;
63527.70821;41;4-Year College Degree;Mitsubishi;New England;425826.2839;
21126.13814;61;Less than High School Degree;None of the above;Mountain;112727.118;
132454.5989;37;Some College;Chevrolet;New England;22796.54745;
26937.44371;40;High School Degree;Ram;East South Central;297295.8256;
90811.12599;42;Master's, Doctoral or Professional Degree;Hyundai;West North Central;86454.34059;
107455.3649;51;Less than High School Degree;Nissan;Pacific;308047.2318;
124808.5224;76;Less than High School Degree;Kia;East North Central;323022.621;
37479.99886;20;Master's, Doctoral or Professional Degree;Chevrolet;Mid-Atlantic;410739.6896;
73611.10412;68;4-Year College Degree;BMW;East North Central;312588.5565;
50395.58178;28;Master's, Doctoral or Professional Degree;Honda;New England;379625.8939;
71970.32457;27;4-Year College Degree;Jeep;West South Central;463247.4867;
73119.92519;44;Master's, Doctoral or Professional Degree;Subaru;New England;38814.7038;
49351.13734;32;Some College;Jeep;New England;300902.5315;
52372.29479;43;High School Degree;Ford;South Atlantic;349856.8397;
40892.45979;42;High School Degree;Dodge;East South Central;188957.3414;
139023.1273;20;Master's, Doctoral or Professional Degree;Chrysler;East South Central;104680.5184;
140931.9435;45;4-Year College Degree;Mitsubishi;West South Central;49061.59666;
52566.45174;71;Master's, Doctoral or Professional Degree;Chrysler;East South Central;314481.0554;
90992.62484;27;High School Degree;Jeep;Mid-Atlantic;138893.8055;
106641.084;50;Less than High School Degree;Ram;East South Central;66591.92741;
111128.1033;76;Master's, Doctoral or Professional Degree;Kia;West South Central;86871.40729;
138388.6703;65;Some College;Toyota;South Atlantic;199243.198;
66258.00373;50;Less than High School Degree;Lincoln;New England;289579.9395;
25086.2967;29;Master's, Doctoral or Professional Degree;Mitsubishi;East South Central;407093.8974;
42325.29866;67;Master's, Doctoral or Professional Degree;Chrysler;Mountain;300351.994;
91888.84731;58;Master's, Doctoral or Professional Degree;Ford;Pacific;75704.44308;
21221.29813;23;Some College;Mazda;Mid-Atlantic;344746.368;
48452.2581;47;Less than High School Degree;Jeep;Pacific;387229.9544;
83137.80268;68;High School Degree;Mercedes Benz;Mountain;398524.0977;
84452.19118;27;4-Year College Degree;Kia;East South Central;214214.5143;
63484.93507;40;Less than High School Degree;Kia;West South Central;32672.45639;
74139.13223;26;High School Degree;Cadillac;Pacific;255001.1812;
99523.88097;55;Master's, Doctoral or Professional Degree;Mazda;West South Central;178723.1268;
150000;36;Master's, Doctoral or Professional Degree;Mercedes Benz;Mid-Atlantic;135584.4804;
40847.99492;71;Some College;BMW;Mid-Atlantic;90449.37911;
61079.17841;40;High School Degree;Subaru;East South Central;195585.406;
143519.587;56;Some College;Buick;West North Central;185572.3519;
99417.73531;32;Some College;Buick;Pacific;33880.24129;
81297.5268;68;High School Degree;Ram;South Atlantic;472520.8553;
32539.90664;67;Master's, Doctoral or Professional Degree;Hyundai;West North Central;26613.75339;
49540.82342;58;Master's, Doctoral or Professional Degree;Chevrolet;East South Central;209548.4002;
138810.1479;64;Master's, Doctoral or Professional Degree;Mercedes Benz;West South Central;266488.6727;
142843.9572;63;4-Year College Degree;Mercedes Benz;South Atlantic;198330.4117;
142242.1431;43;Less than High School Degree;Mitsubishi;West North Central;195496.6787;
75817.74194;61;Master's, Doctoral or Professional Degree;Chrysler;Pacific;41420.26181;
132840.1649;42;Some College;Jeep;New England;485443.2794;
57030.03863;23;Master's, Doctoral or Professional Degree;Lincoln;West North Central;237213.6995;
66329.12629;36;4-Year College Degree;Ram;West South Central;369720.6585;
55914.38172;45;4-Year College Degree;Honda;South Atlantic;200552.0922;
52402.77066;38;Master's, Doctoral or Professional Degree;Mitsubishi;Pacific;83066.52285;
137306.4566;43;High School Degree;Ford;Mid-Atlantic;302713.6834;
101307.9145;25;Some College;Ram;East North Central;333542.2485;
61728.08564;56;High School Degree;Chrysler;Pacific;468419.0861;
76623.2976;26;High School Degree;None of the above;Mid-Atlantic;276471.1771;
146859.2794;46;Master's, Doctoral or Professional Degree;BMW;Mountain;333101.9542;
73955.16249;36;Less than High School Degree;Hyundai;New England;443255.8299;
108750.2014;61;Master's, Doctoral or Professional Degree;Cadillac;Mid-Atlantic;172115.0093;
76794.29133;64;4-Year College Degree;Mitsubishi;Mid-Atlantic;75723.48162;
78098.32868;22;Master's, Doctoral or Professional Degree;Hyundai;East South Central;54507.58813;
118284.2705;68;Master's, Doctoral or Professional Degree;Kia;Pacific;283326.8882;
62286.45225;47;Some College;Nissan;Pacific;75653.36494;
22220.17408;54;Master's, Doctoral or Professional Degree;Cadillac;East South Central;450939.1686;
109549.431;56;Some College;Ram;Pacific;462089.7915;
140697.3089;69;Less than High School Degree;None of the above;East South Central;255337.255;
46990.10958;73;4-Year College Degree;Chevrolet;West South Central;149942.844;
78483.73035;65;4-Year College Degree;Kia;East South Central;343226.2001;
43891.56968;77;Master's, Doctoral or Professional Degree;Jeep;West South Central;161369.8533;
29482.81868;57;High School Degree;Mercedes Benz;New England;221367.0628;
150000;65;High School Degree;None of the above;Pacific;83166.3364;
150000;24;Master's, Doctoral or Professional Degree;Chrysler;Pacific;134339.3949;
76320.6989;57;Less than High School Degree;Nissan;Mid-Atlantic;79991.18209;
37866.48004;32;4-Year College Degree;Dodge;Pacific;479665.9554;
136064.627;32;Some College;Subaru;West North Central;106617.9865;
150000;47;Some College;Chrysler;West North Central;178552.4317;
37035.58845;64;Less than High School Degree;Buick;South Atlantic;430163.3555;
105028.0305;39;Less than High School Degree;Hyundai;West South Central;500000;
109770.4385;47;4-Year College Degree;Kia;Pacific;333436.7546;
44066.05921;60;Master's, Doctoral or Professional Degree;Jeep;East North Central;181206.0711;
139330.2229;73;4-Year College Degree;Dodge;Pacific;104040.5731;
